Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UV control-1	Peptides UV-control-2	Peptides UV-control-3	Peptides UV-test-1	Peptides UV-test-2	Razor + unique peptides UV control-1	Razor + unique peptides UV-control-2	Razor + unique peptides UV-control-3	Razor + unique peptides UV-test-1	Razor + unique peptides UV-test-2	Unique peptides UV control-1	Unique peptides UV-control-2	Unique peptides UV-control-3	Unique peptides UV-test-1	Unique peptides UV-test-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type UV control-1	Identification type UV-control-2	Identification type UV-control-3	Identification type UV-test-1	Identification type UV-test-2	Sequence coverage UV control-1 [%]	Sequence coverage UV-control-2 [%]	Sequence coverage UV-control-3 [%]	Sequence coverage UV-test-1 [%]	Sequence coverage UV-test-2 [%]	Intensity	Intensity UV control-1	Intensity UV-control-2	Intensity UV-control-3	Intensity UV-test-1	Intensity UV-test-2	LFQ intensity UV control-1	LFQ intensity UV-control-2	LFQ intensity UV-control-3	LFQ intensity UV-test-1	LFQ intensity UV-test-2	MS/MS count UV control-1	MS/MS count UV-control-2	MS/MS count UV-control-3	MS/MS count UV-test-1	MS/MS count UV-test-2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
ENSMODG00000009982|ENSMODT00000012726	ENSMODG00000009982|ENSMODT00000012726	4	4	4	ENSMODG00000009982|ENSMODT00000012726	1	4	4	4	0	1	0	3	0	0	1	0	3	0	0	1	0	3	0	1.5	1.5	1.5	332.5	2883	2883	0	32.799		By MS/MS		By MS/MS		0	0.5	0	1	0	159530	0	0	0	159530	0	0	0	0	11553	0	0	1	0	3	0	4				136	623;815;821;850	True;True;True;True	669;865;871;901	1741;2300;2314;2370	1163;1528;1539;1583	1163;1528;1539;1583	84	166

ENSMODG00000010075|ENSMODT00000034124	ENSMODG00000010075|ENSMODT00000034124	1	1	1	ENSMODG00000010075|ENSMODT00000034124	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0.7	0.7	0.7	137.82	1190	1190	1	-2			By MS/MS			0	0	0.7	0	0	306930	0	0	306930	0	0	0	0	6711.1	0	0	0	0	1	0	0	1	+			137	636	True	682	1770	1183	1183	85;86	874;876

ENSMODG00000010095|ENSMODT00000012874	ENSMODG00000010095|ENSMODT00000012874	2	2	2	ENSMODG00000010095|ENSMODT00000012874	1	2	2	2	0	2	2	1	1	0	2	2	1	1	0	2	2	1	1	8	8	8	14.663	137	137	0	13.064		By MS/MS	By MS/MS	By matching	By matching	0	8	8	7.3	7.3	35363000	0	23610000	11033000	646130	73133	0	315240	245880	0	0	0	2	1	0	0	3				138	429;1072	True;True	464;1139	1220;1221;1222;1223;2912;2913	794;795;1933	795;1933		

ENSMODG00000010264|ENSMODT00000013099	ENSMODG00000010264|ENSMODT00000013099	1	1	1	ENSMODG00000010264|ENSMODT00000013099	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	3.1	3.1	3.1	36.468	319	319	0	6.1355		By matching	By MS/MS			0	3.1	3.1	0	0	3292700	0	2479800	812930	0	0	0	0	17775	0	0	0	0	1	0	0	1				139	906	True	962	2508;2509	1673	1673	87	95

ENSMODG00000010274|ENSMODT00000013113	ENSMODG00000010274|ENSMODT00000013113	5	5	5	ENSMODG00000010274|ENSMODT00000013113	1	5	5	5	1	4	4	1	2	1	4	4	1	2	1	4	4	1	2	49	49	49	12.259	104	104	0	94.495	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	15.4	44.2	44.2	10.6	15.4	49751000	39010	16233000	32330000	36841	1111800	0	214120	703080	0	0	0	1	5	0	2	8				140	29;927;1154;1155;1331	True;True;True;True;True	29;988;989;1228;1229;1415	72;73;2552;2553;2554;2555;3142;3143;3144;3145;3146;3147;3148;3614;3615	52;1703;1704;2090;2091;2092;2384;2385	52;1704;2090;2092;2384	88	35

ENSMODG00000010542|ENSMODT00000013454	ENSMODG00000010542|ENSMODT00000013454	5	5	5	ENSMODG00000010542|ENSMODT00000013454	1	5	5	5	0	5	4	1	1	0	5	4	1	1	0	5	4	1	1	31.1	31.1	31.1	26.681	238	238	0	38.721		By MS/MS	By MS/MS	By matching	By matching	0	31.1	26.9	5	8.8	5804500	0	5117200	513550	130960	42828	0	68314	12245	0	0	0	5	1	0	0	6				141	113;244;336;1158;1380	True;True;True;True;True	122;265;363;1232;1467	362;363;364;722;723;997;3153;3154;3155;3750;3751	229;477;478;644;2096;2473	229;478;644;2096;2473		

ENSMODG00000010754|ENSMODT00000039316	ENSMODG00000010754|ENSMODT00000039316	1	1	1	ENSMODG00000010754|ENSMODT00000039316	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	3.3	3.3	3.3	64.024	573	573	1	-2		By MS/MS	By matching			0	3.3	3.3	0	0	8364300	0	6420200	1944100	0	0	0	0	42508	0	0	0	1	0	0	0	1	+			142	1101	True	1169	2994;2995	1991	1991	89	113

ENSMODG00000011135|ENSMODT00000018946	ENSMODG00000011135|ENSMODT00000018946	46	46	22	ENSMODG00000011135|ENSMODT00000018946	1	46	46	22	13	28	28	22	25	13	28	28	22	25	9	11	12	11	14	91.2	91.2	49.6	32.68	284	284	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41.5	68.3	68.7	57.7	56.3	2437900000	2419800	1569000000	805350000	39231000	21942000	2924000	19977000	17817000	3002200	4023100	7	31	31	24	18	111				143	6;7;34;40;41;71;112;131;132;153;196;349;350;535;536;537;564;565;642;643;678;715;716;719;750;751;752;758;759;806;807;870;885;919;920;1031;1032;1079;1157;1164;1165;1169;1329;1385;1487;1489	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	6;7;35;41;42;72;73;120;121;140;141;163;215;377;378;574;575;576;603;604;688;689;727;764;765;768;799;800;801;807;808;856;857;921;936;937;977;978;1097;1098;1146;1231;1238;1239;1243;1413;1472;1579;1581	19;20;21;22;23;86;87;88;89;102;103;104;105;106;107;108;189;190;191;192;193;350;351;352;353;354;355;356;357;358;359;360;361;415;416;417;418;419;420;421;422;475;476;587;588;589;590;591;1025;1026;1027;1028;1494;1495;1496;1497;1498;1499;1500;1501;1558;1559;1560;1561;1784;1785;1786;1787;1788;1789;1790;1889;1890;1891;1892;1893;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2013;2102;2103;2104;2105;2106;2107;2108;2109;2121;2122;2123;2124;2125;2126;2127;2128;2129;2273;2274;2275;2276;2277;2278;2279;2280;2281;2282;2419;2420;2421;2422;2423;2450;2451;2452;2453;2454;2534;2535;2797;2798;2799;2800;2801;2802;2803;2804;2805;2806;2938;2939;2940;2941;3150;3151;3152;3169;3170;3171;3172;3173;3174;3175;3185;3186;3187;3188;3606;3607;3608;3757;3758;4012;4013;4016;4017;4018;4019;4020;4021	11;12;13;60;61;71;72;73;74;75;76;128;129;130;131;132;222;223;224;225;226;227;228;263;264;265;266;267;268;308;392;393;665;666;667;986;987;988;989;990;991;1037;1038;1039;1194;1195;1196;1197;1198;1199;1270;1271;1272;1331;1332;1333;1334;1335;1336;1340;1397;1398;1399;1400;1401;1402;1409;1410;1411;1412;1413;1510;1511;1512;1513;1514;1515;1516;1517;1610;1631;1632;1633;1634;1691;1692;1874;1875;1876;1877;1878;1879;1948;1949;1950;2094;2095;2106;2107;2108;2109;2110;2111;2117;2118;2380;2478;2647;2648;2650;2651;2652;2653;2654	12;13;60;72;75;131;224;264;268;308;392;665;667;987;988;990;1037;1039;1196;1199;1270;1334;1336;1340;1398;1399;1402;1411;1413;1511;1516;1610;1634;1691;1692;1877;1879;1950;2095;2109;2111;2118;2380;2478;2647;2651	22;90;91;92	1;127;141;281

ENSMODG00000011277|ENSMODT00000014373;ENSMODG00000011269|ENSMODT00000014360	ENSMODG00000011277|ENSMODT00000014373;ENSMODG00000011269|ENSMODT00000014360	1;1	1;1	1;1	ENSMODG00000011277|ENSMODT00000014373;ENSMODG00000011269|ENSMODT00000014360	2	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	10.1	10.1	10.1	23.657	199	199;199	0	19.865		By MS/MS				0	10.1	0	0	0	716770	0	716770	0	0	0	0	9711.1	0	0	0	0	1	0	0	0	1				144	1322	True	1405	3590	2366	2366		

ENSMODG00000011291|ENSMODT00000014391	ENSMODG00000011291|ENSMODT00000014391	2	2	2	ENSMODG00000011291|ENSMODT00000014391	1	2	2	2	0	2	1	0	0	0	2	1	0	0	0	2	1	0	0	6.5	6.5	6.5	42.535	372	372	0	24.44		By MS/MS	By matching			0	6.5	3.8	0	0	602000	0	541600	60398	0	0	0	7337.9	0	0	0	0	2	0	0	0	2				145	385;1156	True;True	413;1230	1102;1103;3149	715;2093	715;2093		

ENSMODG00000011313|ENSMODT00000037180	ENSMODG00000011313|ENSMODT00000037180	1	1	1	ENSMODG00000011313|ENSMODT00000037180	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0.9	0.9	0.9	98.816	907	907	0.0075472	5.8616		By MS/MS	By MS/MS	By matching	By matching	0	0.9	0.9	0.9	0.9	64339000	0	42732000	21430000	153380	23891	0	0	0	0	4596.9	0	1	1	0	0	2				146	861	True	912	2395;2396;2397;2398;2399	1597;1598	1597		

ENSMODG00000011349|ENSMODT00000014454	ENSMODG00000011349|ENSMODT00000014454	1	1	1	ENSMODG00000011349|ENSMODT00000014454	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1.1	1.1	1.1	79.892	703	703	1	-2		By MS/MS			By matching	0	1.1	0	0	1.1	29372	0	23439	0	0	5933.8	0	0	0	0	1141.7	0	0	0	0	0	0	+			147	293	True	319	864;865	566	566	93	126

ENSMODG00000011359|ENSMODT00000014480	ENSMODG00000011359|ENSMODT00000014480	4	4	4	ENSMODG00000011359|ENSMODT00000014480	1	4	4	4	0	4	4	0	1	0	4	4	0	1	0	4	4	0	1	5	5	5	144.99	1499	1499	0	44.235		By MS/MS	By MS/MS		By matching	0	5	5	0	1.3	6758100	0	5049400	1662500	0	46153	0	69526	35238	0	0	0	4	2	0	0	6				148	219;529;837;1143	True;True;True;True	239;568;887;1217	654;655;656;1480;1481;1482;1483;2336;2337;3113;3114	435;975;976;977;1558;2075	435;977;1558;2075	94	211

ENSMODG00000011362|ENSMODT00000014471;ENSMODG00000011052|ENSMODT00000043637;ENSMODG00000003107|ENSMODT00000003870;ENSMODG00000011052|ENSMODT00000014094	ENSMODG00000011362|ENSMODT00000014471	3;1;1;1	3;1;1;1	3;1;1;1	ENSMODG00000011362|ENSMODT00000014471	4	3	3	3	0	2	2	2	0	0	2	2	2	0	0	2	2	2	0	9.4	9.4	9.4	30.577	266	266;322;341;383	0	19.715		By matching	By MS/MS	By MS/MS		0	7.9	7.9	4.9	0	1660700	0	618630	628100	413970	0	0	0	0	29980	0	0	0	1	2	0	3				149	182;796;1267	True;True;True	193;846;1345	541;542;2242;2243;2244;3433	355;1493;2277	355;1493;2277		

ENSMODG00000011434|ENSMODT00000014559	ENSMODG00000011434|ENSMODT00000014559	17	17	17	ENSMODG00000011434|ENSMODT00000014559	1	17	17	17	5	15	14	6	7	5	15	14	6	7	5	15	14	6	7	23.2	23.2	23.2	82.887	800	800	0	110.69	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.4	22.5	20	10.9	9	29464000	107300	21628000	5508300	1263100	956590	85085	207950	71295	141250	290720	0	12	8	2	4	26				150	44;137;198;199;253;736;1016;1051;1111;1192;1269;1301;1305;1335;1379;1390;1426	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	45;146;217;218;275;785;1082;1117;1179;1266;1347;1383;1387;1419;1466;1477;1515	113;114;115;430;431;432;433;594;595;596;751;752;2059;2060;2751;2752;2753;2852;2853;2854;2855;2856;2857;2858;2859;2860;3007;3008;3009;3010;3258;3259;3436;3437;3536;3537;3538;3539;3545;3546;3547;3622;3623;3624;3625;3626;3748;3749;3765;3766;3767;3768;3769;3770;3771;3772;3773;3774;3880;3881	80;81;274;275;276;277;395;396;495;1375;1850;1903;1904;2001;2163;2279;2337;2338;2343;2391;2392;2471;2472;2484;2485;2486;2553	80;276;395;396;495;1375;1850;1904;2001;2163;2279;2337;2343;2391;2472;2486;2553	95	703

ENSMODG00000011449|ENSMODT00000014576	ENSMODG00000011449|ENSMODT00000014576	3	3	3	ENSMODG00000011449|ENSMODT00000014576	1	3	3	3	0	3	3	0	0	0	3	3	0	0	0	3	3	0	0	27.3	27.3	27.3	18.434	161	161	0	92.368		By MS/MS	By MS/MS			0	27.3	27.3	0	0	4234100	0	2922600	1311400	0	0	0	38867	29404	0	0	0	2	3	0	0	5				151	497;909;928	True;True;True	536;965;990	1408;1409;2513;2514;2556;2557	927;1677;1678;1705;1706	927;1678;1706		

ENSMODG00000011528|ENSMODT00000014683	ENSMODG00000011528|ENSMODT00000014683	2	2	2	ENSMODG00000011528|ENSMODT00000014683	1	2	2	2	0	2	2	1	0	0	2	2	1	0	0	2	2	1	0	25	25	25	8.462	76	76	0	32.343		By MS/MS	By MS/MS	By matching		0	25	25	9.2	0	22039000	0	20612000	1410700	15929	0	0	278720	31389	0	0	0	1	1	0	0	2				152	509;586	True;True	548;627	1435;1436;1619;1620;1621	944;1075	944;1075		

ENSMODG00000011543|ENSMODT00000014710	ENSMODG00000011543|ENSMODT00000014710	2	2	2	ENSMODG00000011543|ENSMODT00000014710	1	2	2	2	0	2	1	0	0	0	2	1	0	0	0	2	1	0	0	6.2	6.2	6.2	62.522	581	581	0	12.904		By MS/MS	By MS/MS			0	6.2	2.8	0	0	298340	0	210040	88302	0	0	0	2845.7	0	0	0	0	1	1	0	0	2				153	160;1381	True;True	170;1468	493;3752;3753	320;2474	320;2474		

ENSMODG00000011604|ENSMODT00000014791	ENSMODG00000011604|ENSMODT00000014791	2	2	2	ENSMODG00000011604|ENSMODT00000014791	1	2	2	2	0	2	0	1	0	0	2	0	1	0	0	2	0	1	0	6.8	6.8	6.8	38.725	339	339	0	35.671		By MS/MS		By MS/MS		0	6.8	0	2.7	0	442380	0	379610	0	62773	0	0	5143.1	0	0	0	0	1	0	1	0	2				154	543;1006	True;True	582;1072	1518;2730;2731	1004;1835	1004;1835		

ENSMODG00000011643|ENSMODT00000014853;ENSMODG00000011643|ENSMODT00000014856	ENSMODG00000011643|ENSMODT00000014853;ENSMODG00000011643|ENSMODT00000014856	11;9	11;9	11;9	ENSMODG00000011643|ENSMODT00000014853;ENSMODG00000011643|ENSMODT00000014856	2	11	11	11	2	9	7	0	5	2	9	7	0	5	2	9	7	0	5	30	30	30	53.846	496	496;518	0	113.76	By matching	By MS/MS	By MS/MS		By MS/MS	6	28	24.2	0	13.7	8803900	65526	5942900	2080400	0	715160	0	129730	51554	0	82322	0	8	2	0	3	13				155	1;2;37;46;723;1160;1351;1357;1369;1414;1446	True;True;True;True;True;True;True;True;True;True;True	1;2;38;47;772;1234;1436;1443;1456;1502;1536	3;4;5;6;7;8;97;98;117;118;2024;2025;3158;3672;3695;3718;3719;3720;3721;3833;3834;3835;3921;3922	1;2;3;67;68;83;1349;2099;2427;2437;2453;2454;2522;2583	1;3;68;83;1349;2099;2427;2437;2454;2522;2583		

ENSMODG00000011876|ENSMODT00000015154	ENSMODG00000011876|ENSMODT00000015154	1	1	1	ENSMODG00000011876|ENSMODT00000015154	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	11.2	11.2	11.2	10.646	98	98	0.0072993	5.6961		By matching	By MS/MS			0	11.2	11.2	0	0	148690	0	71003	77691	0	0	0	0	1698.7	0	0	0	0	1	0	0	1				156	3	True	3	9;10	4	4		

ENSMODG00000011898|ENSMODT00000015186	ENSMODG00000011898|ENSMODT00000015186	17	17	16	ENSMODG00000011898|ENSMODT00000015186	1	17	17	16	0	6	16	4	12	0	6	16	4	12	0	5	15	4	11	34.5	34.5	32.4	40.09	377	377	0	224.98		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	18	34.5	13.3	24.7	366680000	0	1586200	356750000	2669600	5683300	0	18723	7840200	207600	763460	0	2	26	2	5	35				157	363;390;402;457;462;580;598;611;612;645;704;743;761;898;899;941;1465	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	391;420;421;434;492;497;621;640;653;654;691;692;753;792;810;952;953;954;955;1003;1555	1059;1117;1118;1119;1120;1121;1122;1143;1144;1145;1146;1147;1293;1294;1304;1305;1306;1307;1604;1605;1662;1663;1664;1665;1666;1667;1668;1697;1698;1699;1700;1701;1792;1793;1794;1962;1963;2084;2085;2086;2132;2491;2492;2493;2494;2495;2586;2587;2588;3960;3961;3962	685;727;728;729;730;746;747;841;848;849;850;1066;1067;1106;1107;1108;1109;1128;1129;1130;1131;1132;1201;1202;1315;1387;1415;1661;1662;1663;1664;1729;1730;1731;2614	685;727;746;841;849;1066;1109;1130;1132;1202;1315;1387;1415;1662;1664;1730;2614	96;97	120;237

ENSMODG00000011908|ENSMODT00000015200	ENSMODG00000011908|ENSMODT00000015200	1	1	1	ENSMODG00000011908|ENSMODT00000015200	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	3.2	3.2	3.2	41.275	374	374	0	7.6997		By MS/MS				0	3.2	0	0	0	221160	0	221160	0	0	0	0	2996.4	0	0	0	0	1	0	0	0	1				158	614	True	657	1704	1135	1135		

ENSMODG00000011916|ENSMODT00000015207	ENSMODG00000011916|ENSMODT00000015207	10	9	3	ENSMODG00000011916|ENSMODT00000015207	1	10	9	3	0	6	9	1	3	0	5	8	1	2	0	1	3	1	1	23.7	21.8	10.3	46.034	417	417	0	162.91		By matching	By MS/MS	By matching	By MS/MS	0	14.1	21.1	1.9	6.5	36809000	0	607130	35665000	71005	465460	0	15333	759160	0	0	0	0	12	0	2	14				159	246;386;388;458;462;897;1075;1367;1368;1466	True;True;True;True;False;True;True;True;True;True	267;414;416;417;493;497;950;951;1142;1454;1455;1556	726;727;728;729;1104;1105;1108;1109;1110;1295;1296;1304;1305;1306;1307;2489;2490;2925;2926;2927;2928;3716;3717;3963;3964	480;716;717;720;721;842;848;849;850;1659;1660;1941;1942;1943;2451;2452;2615	480;716;721;842;849;1660;1943;2451;2452;2615	69;72	147;263

ENSMODG00000011925|ENSMODT00000015220	ENSMODG00000011925|ENSMODT00000015220	1	1	1	ENSMODG00000011925|ENSMODT00000015220	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1.5	1.5	1.5	95.88	857	857	0	10.308		By MS/MS				0	1.5	0	0	0	102770	0	102770	0	0	0	0	1392.4	0	0	0	0	1	0	0	0	1				160	753	True	802	2110	1403	1403		

ENSMODG00000011926|ENSMODT00000015219	ENSMODG00000011926|ENSMODT00000015219	6	6	6	ENSMODG00000011926|ENSMODT00000015219	1	6	6	6	0	6	4	1	0	0	6	4	1	0	0	6	4	1	0	9.8	9.8	9.8	81.285	714	714	0	81.503		By MS/MS	By matching	By matching		0	9.8	7	1.5	0	4160600	0	3763300	341000	56237	0	0	48644	9799.6	0	0	0	6	0	0	0	6				161	242;326;412;776;858;1291	True;True;True;True;True;True	263;352;446;825;909;1372	718;719;955;956;1175;1176;2168;2384;2385;3500;3501	475;623;765;1438;1592;2319	475;623;765;1438;1592;2319		

ENSMODG00000011945|ENSMODT00000015251	ENSMODG00000011945|ENSMODT00000015251	5	5	5	ENSMODG00000011945|ENSMODT00000015251	1	5	5	5	1	4	5	1	4	1	4	5	1	4	1	4	5	1	4	4.6	4.6	4.6	138.31	1455	1455	0	41.968	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	1.5	4.3	4.6	1.5	4	6403500	77788	4360100	542490	229320	1193800	0	156530	24943	0	115990	0	4	0	1	4	9				162	218;452;517;1127;1136	True;True;True;True;True	238;487;556;1199;1209;1210	651;652;653;1283;1284;1285;1454;1455;3066;3067;3068;3069;3095;3096;3097;3098	433;434;835;956;2041;2042;2043;2067;2068	434;835;956;2041;2068	98	173

ENSMODG00000012020|ENSMODT00000015339	ENSMODG00000012020|ENSMODT00000015339	3	3	3	ENSMODG00000012020|ENSMODT00000015339	1	3	3	3	0	3	0	0	0	0	3	0	0	0	0	3	0	0	0	22.7	22.7	22.7	28.37	255	255	0	86.312		By MS/MS				0	22.7	0	0	0	1682700	0	1682700	0	0	0	0	22797	0	0	0	0	3	0	0	0	3				163	339;499;639	True;True;True	366;538;685	1002;1412;1774	647;929;1187	647;929;1187		

ENSMODG00000012112|ENSMODT00000015454	ENSMODG00000012112|ENSMODT00000015454	1	1	1	ENSMODG00000012112|ENSMODT00000015454	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0.2	0.2	0.2	454.87	3970	3970	0.0071429	5.6441		By MS/MS				0	0.2	0	0	0	978190	0	978190	0	0	0	0	7980.8	0	0	0	0	0	0	0	0	0				164	905	True	961	2506;2507	1671;1672	1671	99	3328

ENSMODG00000012113|ENSMODT00000015451	ENSMODG00000012113|ENSMODT00000015451	1	1	1	ENSMODG00000012113|ENSMODT00000015451	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2.6	2.6	2.6	40.081	347	347	0.0038023	5.9185		By MS/MS				0	2.6	0	0	0	287160	0	287160	0	0	0	0	3890.5	0	0	0	0	0	0	0	0	0				165	773	True	822	2162	1435	1435		

ENSMODG00000014227|ENSMODT00000018115;ENSMODG00000014227|ENSMODT00000033637;ENSMODG00000012190|ENSMODT00000015548	ENSMODG00000014227|ENSMODT00000018115;ENSMODG00000014227|ENSMODT00000033637;ENSMODG00000012190|ENSMODT00000015548	1;1;1	1;1;1	1;1;1	ENSMODG00000014227|ENSMODT00000018115;ENSMODG00000014227|ENSMODT00000033637;ENSMODG00000012190|ENSMODT00000015548	3	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	5.7	5.7	5.7	21.652	192	192;193;196	1	-2				By MS/MS		0	0	0	5.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	+			166	1320	True	1402	3581	2361	2361	100	44

ENSMODG00000012302|ENSMODT00000015695	ENSMODG00000012302|ENSMODT00000015695	2	2	2	ENSMODG00000012302|ENSMODT00000015695	1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	15.7	15.7	15.7	22.204	198	198	0	13.055		By MS/MS	By matching			0	15.7	15.7	0	0	486340	0	320860	165480	0	0	0	4476.1	3489.4	0	0	0	2	0	0	0	2				167	133;1011	True;True	142;1077	423;424;2741;2742	269;1843	269;1843		

ENSMODG00000012331|ENSMODT00000015733	ENSMODG00000012331|ENSMODT00000015733	1	1	1	ENSMODG00000012331|ENSMODT00000015733	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0.7	0.7	0.7	112.32	994	994	0.003861	5.9633		By MS/MS	By matching			0	0.7	0.7	0	0	2871100	0	2318200	552920	0	0	0	0	12090	0	0	0	1	0	0	0	1				168	757	True	806	2119;2120	1408	1408		

ENSMODG00000012368|ENSMODT00000015777	ENSMODG00000012368|ENSMODT00000015777	3	2	2	ENSMODG00000012368|ENSMODT00000015777	1	3	2	2	0	3	2	0	0	0	2	1	0	0	0	2	1	0	0	21.1	12.4	12.4	21.501	185	185	0	14.86		By MS/MS	By MS/MS			0	21.1	15.1	0	0	1701300	0	1420000	281300	0	0	0	19239	0	0	0	0	1	1	0	0	2				169	176;617;971	True;False;True	187;660;661;1035	528;529;1708;1709;1710;1711;1712;1713;1714;2655	347;1138;1139;1140;1141;1142;1785	347;1138;1785	23;24	133;136

ENSMODG00000012622|ENSMODT00000016083	ENSMODG00000012622|ENSMODT00000016083	1	1	1	ENSMODG00000012622|ENSMODT00000016083	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1.4	1.4	1.4	97.837	858	858	0.0037879	5.9039				By MS/MS		0	0	0	1.4	0	586930	0	0	0	586930	0	0	0	0	42505	0	0	0	0	1	0	1				170	1153	True	1227	3141	2089	2089		

ENSMODG00000012634|ENSMODT00000016097	ENSMODG00000012634|ENSMODT00000016097	1	1	1	ENSMODG00000012634|ENSMODT00000016097	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	14.3	14.3	14.3	14.865	140	140	0	15.206		By matching	By MS/MS			0	14.3	14.3	0	0	932350	0	649350	283000	0	0	0	0	6187.8	0	0	0	0	1	0	0	1				171	658	True	705	1823;1824	1222	1222		

ENSMODG00000012754|ENSMODT00000016254	ENSMODG00000012754|ENSMODT00000016254	1	1	1	ENSMODG00000012754|ENSMODT00000016254	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	4.1	4.1	4.1	30.336	269	269	0	7.6618		By MS/MS	By matching			0	4.1	4.1	0	0	298300	0	249110	49189	0	0	0	0	1075.5	0	0	0	1	0	0	0	1				172	944	True	1006	2594;2595	1736	1736		

ENSMODG00000024611|ENSMODT00000006844;ENSMODG00000012949|ENSMODT00000016502	ENSMODG00000024611|ENSMODT00000006844;ENSMODG00000012949|ENSMODT00000016502	1;1	1;1	1;1	ENSMODG00000024611|ENSMODT00000006844;ENSMODG00000012949|ENSMODT00000016502	2	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	6.6	6.6	6.6	18.749	166	166;166	0	10.252		By MS/MS	By matching			0	6.6	6.6	0	0	563960	0	403940	160020	0	0	0	0	3499	0	0	0	1	0	0	0	1				173	1442	True	1531	3912;3913	2576	2576		

ENSMODG00000013020|ENSMODT00000016581	ENSMODG00000013020|ENSMODT00000016581	4	4	3	ENSMODG00000013020|ENSMODT00000016581	1	4	4	3	0	4	4	1	0	0	4	4	1	0	0	3	3	0	0	24.4	24.4	19	24.923	205	205	0	49.074		By MS/MS	By MS/MS	By matching		0	24.4	24.4	5.4	0	15783000	0	12134000	3611100	38172	0	0	163990	79363	0	0	0	4	2	0	0	6				174	184;1021;1456;1473	True;True;True;True	195;1087;1546;1564	547;548;2765;2766;2767;3940;3941;3980;3981	360;361;1855;2598;2599;2627	360;1855;2598;2627		

ENSMODG00000013044|ENSMODT00000016624	ENSMODG00000013044|ENSMODT00000016624	1	1	1	ENSMODG00000013044|ENSMODT00000016624	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1.6	1.6	1.6	82.416	758	758	0	8.6168		By MS/MS	By matching			0	1.6	1.6	0	0	293230	0	221750	71482	0	0	0	0	1563	0	0	0	1	0	0	0	1				175	1109	True	1177	3004;3005	1999	1999		

ENSMODG00000013152|ENSMODT00000016764	ENSMODG00000013152|ENSMODT00000016764	1	1	1	ENSMODG00000013152|ENSMODT00000016764	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0.8	0.8	0.8	176.59	1557	1557	0	8.3313		By MS/MS				0	0.8	0	0	0	237750	0	237750	0	0	0	0	3221.1	0	0	0	0	1	0	0	0	1				176	1313	True	1395	3564	2353	2353		

